Right Glove Capture

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

-37.8,-37.8,-25.2,-37.8,-37.8,-37.8,-37.8,-25.2,-25.2,-37.8,-37.8,-37.8,-25.2,-37.8,-37.8,-25.2,-25.2,-25.2,-25.2,-25.2,-25.2,-25.2,-25.2,-25.2,-37.8,-25.2,-37.8,-25.2,-25.2,-25.2,-25.2,-37.8,-25.2,-37.8,-37.8,-25.2,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-25.2,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-25.2,-37.8,-37.8,-25.2,-37.8,-25.2,-25.2,-25.2,-37.8,-25.2,-25.2,-37.8,-25.2,-37.8,-25.2,-25.2,-37.8,-25.2,-37.8,-37.8,-25.2,-37.8,-25.2,-37.8,-25.2,-25.2,-37.8,-37.8,-37.8,-25.2,-37.8,-25.2,-25.2,-37.8,-37.8,-37.8,-25.2,-25.2,-25.2,-37.8,-37.8,-37.8,-37.8,-25.2,-25.2,-37.8,-37.8,-37.8,-37.8,-25.2,-37.8,-37.8,-37.8,-37.8,-25.2,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-50.4,-37.8,-25.2,-25.2,-37.8,-25.2,-37.8,-37.8,-37.8,-25.2,-25.2,-25.2,-37.8,-25.2,-25.2,-25.2,-37.8,-25.2,-25.2,-25.2,-25.2,-25.2,-25.2,-25.2,-25.2,-25.2,-25.2,-25.2,-37.8,-25.2,-37.8,-25.2,-25.2,-25.2,-37.8,-25.2,-25.2,-37.8,-25.2,-25.2,-25.2,-25.2,-25.2,-25.2,-37.8,-25.2,-25.2,-25.2,-25.2,-25.2,-25.2,-25.2,-25.2,-12.6,-12.6,-12.6,-25.2,-25.2,-63,-88.2,-100.8,-100.8,-113.4,-113.4,-113.4,-113.4,-126,-113.4,-113.4,-113.4,-113.4,-113.4,-126,-126,-113.4,-113.4,-113.4,-50.4,-50.4,-50.4,-50.4,-50.4,-37.8,-37.8,-37.8,-50.4,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-25.2,-25.2,-25.2,-25.2,-25.2,-25.2,-25.2,-37.8,-37.8,-37.8,-25.2,-25.2,-37.8,-37.8,-25.2,-37.8,-37.8,-25.2,-37.8,-25.2,-37.8,-37.8,-37.8,-25.2,-37.8,-37.8,-25.2,-37.8,-25.2,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-50.4,-25.2,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-50.4,-37.8,-37.8,-37.8,-25.2,-25.2,-25.2,-25.2,-25.2,-37.8,-37.8,-25.2,-25.2,-25.2,-25.2,-25.2,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-25.2,-25.2,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-25.2,-37.8,-37.8,-37.8,-25.2,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-25.2,-37.8,-37.8,-37.8,-37.8,-25.2,-25.2,-25.2,-37.8,-25.2,-25.2,-25.2,-37.8,-37.8,-37.8,-25.2,-37.8,-37.8,-37.8,-25.2,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-50.4,-37.8,-37.8,-37.8,-37.8,-37.8,-25.2,-50.4,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-25.2,-25.2,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-25.2,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-25.2,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-25.2,-37.8,-37.8,-37.8,-37.8,-25.2,-37.8,-37.8,-25.2,-37.8,-37.8,-25.2,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-37.8,-25.2,-37.8,-37.8,-37.8,-37.8,-25.2,-25.2,-37.8,

-15,-16.07143,-13.92857,-17.14286,-18.21429,-13.92857,-13.92857,-12.85714,-12.85714,-15,-16.07143,-12.85714,-12.85714,-13.92857,-17.14286,-13.92857,-12.85714,-13.92857,-12.85714,-15,-11.78572,-19.28572,-12.85714,-12.85714,-11.78572,-12.85714,-13.92857,-12.85714,-12.85714,-13.92857,-13.92857,-12.85714,-12.85714,-16.07143,-11.78572,-10.71429,-13.92857,-12.85714,-17.14286,-10.71429,-11.78572,-12.85714,-9.642858,-18.21429,-12.85714,-11.78572,-11.78572,-16.07143,-12.85714,-12.85714,-12.85714,-13.92857,-13.92857,-13.92857,-13.92857,-16.07143,-16.07143,-13.92857,-19.28572,-16.07143,-16.07143,-17.14286,-16.07143,-18.21429,-19.28572,-22.5,-17.14286,-16.07143,-16.07143,-15,-17.14286,-15,-16.07143,-17.14286,-16.07143,-15,-15,-16.07143,-15,-13.92857,-16.07143,-16.07143,-15,-15,-19.28572,-15,-16.07143,-19.28572,-16.07143,-16.07143,-15,-15,-17.14286,-15,-17.14286,-17.14286,-17.14286,-16.07143,-15,-17.14286,-15,-13.92857,-18.21429,-16.07143,-15,-15,-13.92857,-16.07143,-16.07143,-20.35714,-17.14286,-15,-17.14286,-15,-18.21429,-16.07143,-15,-18.21429,-17.14286,-17.14286,-18.21429,-22.5,-23.57143,-22.5,-27.85714,-23.57143,-22.5,-22.5,-24.64286,-24.64286,-24.64286,-25.71429,-24.64286,-24.64286,-23.57143,-23.57143,-25.71429,-23.57143,-21.42857,-22.5,-19.28572,-18.21429,-18.21429,-21.42857,-16.07143,-18.21429,-22.5,-18.21429,-15,-18.21429,-20.35714,-16.07143,-16.07143,-19.28572,-17.14286,-15,-16.07143,-15,-18.21429,-17.14286,-16.07143,-17.14286,-16.07143,-16.07143,-16.07143,-19.28572,-16.07143,-16.07143,-18.21429,-16.07143,-15,-16.07143,-16.07143,-18.21429,-17.14286,-17.14286,-17.14286,-16.07143,-17.14286,-16.07143,-19.28572,-16.07143,-15,-19.28572,-17.14286,-15,-15,-20.35714,-17.14286,-13.92857,-20.35714,-13.92857,-10.71429,-11.78572,-11.78572,-11.78572,-9.642858,-13.92857,-7.5,-5.357143,-4.285714,-5.357143,-7.5,-4.285714,-4.285714,-9.642858,-5.357143,-6.428572,-5.357143,-8.571428,-5.357143,-7.5,-12.85714,-7.5,-5.357143,-7.5,-8.571428,-8.571428,-8.571428,-11.78572,-11.78572,-11.78572,-12.85714,-12.85714,-18.21429,-13.92857,-12.85714,-13.92857,-13.92857,-12.85714,-12.85714,-13.92857,-11.78572,-11.78572,-12.85714,-11.78572,-10.71429,-10.71429,-12.85714,-10.71429,-10.71429,-11.78572,-13.92857,-10.71429,-11.78572,-11.78572,-13.92857,-12.85714,-11.78572,-15,-12.85714,-13.92857,-16.07143,-16.07143,-12.85714,-11.78572,-19.28572,-13.92857,-11.78572,-11.78572,-12.85714,-13.92857,-13.92857,-12.85714,-13.92857,-13.92857,-11.78572,-11.78572,-15,-11.78572,-12.85714,-13.92857,-10.71429,-9.642858,-7.5,-5.357143,-3.214286,-2.142857,-7.5,-1.071429,0,-4.285714,-1.071429,0,0,-4.137931,-2.068965,-1.034483,-1.034483,-3.103448,-7.24138,-2.068965,-3.103448,-4.137931,-5.172414,-7.24138,-8.275862,-10.34483,-12.41379,-14.48276,-15.51724,-13.44828,-14.48276,-14.48276,-14.48276,-14.48276,-14.48276,-20.68966,-14.48276,-14.48276,-14.48276,-15.51724,-18.62069,-15.51724,-14.48276,-15.51724,-14.48276,-15.51724,-13.44828,-15.51724,-14.48276,-14.48276,-17.58621,-15.51724,-16.55172,-14.48276,-18.62069,-18.62069,-14.48276,-20.68966,-14.48276,-14.48276,-14.48276,-15.51724,-16.55172,-15.51724,-15.51724,-14.48276,-13.44828,-14.48276,-18.62069,-16.55172,-16.55172,-15.51724,-18.62069,-14.48276,-14.48276,-14.48276,-13.44828,-14.48276,-12.41379,-13.44828,-12.41379,-12.41379,-9.310345,-9.310345,-10.34483,-8.275862,-8.275862,-9.310345,-7.24138,-6.206896,-6.206896,-6.206896,-6.206896,-5.172414,-11.37931,-4.137931,-5.172414,-5.172414,-5.172414,-8.275862,-9.310345,-13.44828,-15.51724,-15.51724,-15.51724,-16.55172,-19.65517,-16.55172,-18.62069,-19.65517,-16.55172,-15.51724,-15.51724,-16.55172,-15.51724,-15.51724,-20.68966,-15.51724,-15.51724,-15.51724,-19.65517,-17.58621,-16.55172,-18.62069,-16.55172,-18.62069,-16.55172,-17.58621,-18.62069,-18.62069,-20.68966,-19.65517,-16.55172,-16.55172,-16.55172,-16.55172,-16.55172,-16.55172,-21.72414,-16.55172,-16.55172,-16.55172,-16.55172,-17.58621,-16.55172,-20.68966,-16.55172,-16.55172,-16.55172,-15.51724,-18.62069,-14.48276,-14.48276,-17.58621,-15.51724,-14.48276,-14.48276,-18.62069,-14.48276,-14.48276,-19.65517,-14.48276,-15.51724,-14.48276,-15.51724,-16.55172,-16.55172,-15.51724,-17.58621,-14.48276,-14.48276,-14.48276,
/////////////////////////////////
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

-45,-45,-45,-45,-45,-36,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-54,-45,-45,-54,-45,-54,-45,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-54,-45,-54,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-54,-45,-45,-45,-45,-45,-36,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-54,-45,-54,-54,-54,-45,-45,-54,-45,-54,-54,-45,-45,-45,-45,-45,-45,-45,-45,-45,-36,-45,-36,-45,-36,-45,-45,-36,-36,-45,-45,-45,-45,-36,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-36,-45,-45,-45,-45,-45,-36,-45,-36,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-36,-36,-36,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-36,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-36,-45,-36,-36,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-54,-45,-45,-45,-45,-45,-45,-45,-45,-36,-45,-45,-45,-45,-36,-36,-27,-36,-45,-54,-72,-81,-99,-108,-108,-99,-99,-99,-108,-108,-108,-117,-117,-108,-117,-117,-90,-45,-45,-63,-63,-54,-54,-63,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-45,-54,-54,-45,-54,-54,-63,-54,-54,-54,-54,-54,-45,-54,-54,-54,-45,-54,-54,-54,-54,-45,-45,-45,-54,-45,-45,-36,-45,-45,-45,-45,-45,-45,-45,-45,-54,-45,-54,-54,-54,-45,-45,-45,-45,-45,-54,-45,-45,-45,-45,-54,-45,-45,-45,-45,-45,-45,-54,-45,-45,-54,-45,-45,-45,-45,-45,-45,-54,-45,-45,-45,-54,-45,-45,-45,-45,-54,-45,-45,-54,-45,-45,-45,-45,-45,-45,-45,-45,-45,-54,-45,-45,-45,-45,-45,-45,-36,-54,-45,-54,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,

